Region,County,First Dose,Series Complete,Report as of
Western New York,Niagara,151095,141965,11/7/22
Mohawk Valley,Oneida,156513,145446,11/7/22
Central New York,Onondaga,369578,339379,11/7/22
Finger Lakes,Ontario,85586,80173,11/7/22
Mid-Hudson,Orange,264979,241206,11/7/22
Finger Lakes,Orleans,24470,23010,11/7/22
Central New York,Oswego,79667,74962,11/7/22
Mohawk Valley,Otsego,40606,37912,11/7/22
Mid-Hudson,Putnam,83256,74758,11/7/22
New York City,Queens,2207062,1983125,11/7/22
Capital Region,Rensselaer,119525,110636,11/7/22
New York City,Richmond,392244,359648,11/7/22
Mid-Hudson,Rockland,233467,210074,11/7/22
Capital Region,Saratoga,188510,175826,11/7/22
Capital Region,Schenectady,136495,126128,11/7/22
Mohawk Valley,Schoharie,19455,18446,11/7/22
Southern Tier,Schuyler,11280,10438,11/7/22
Finger Lakes,Seneca,19683,18431,11/7/22
North Country,St. Lawrence,74386,69370,11/7/22
Southern Tier,Steuben,56269,52856,11/7/22
Long Island,Suffolk,1240349,1128586,11/7/22
Mid-Hudson,Sullivan,51300,46541,11/7/22
Southern Tier,Tioga,25716,24340,11/7/22
Southern Tier,Tompkins,88618,80418,11/7/22
Mid-Hudson,Ulster,148319,135670,11/7/22
Capital Region,Warren,52441,49350,11/7/22
Capital Region,Washington,41913,39766,11/7/22
Finger Lakes,Wayne,65767,61882,11/7/22
Mid-Hudson,Westchester,883805,793466,11/7/22
Finger Lakes,Wyoming,23487,22205,11/7/22
Finger Lakes,Yates,14733,13721,11/7/22
Capital Region,Albany,254647,231644,11/6/22
Western New York,Allegany,23618,22057,11/6/22
New York City,Bronx,1225039,1088102,11/6/22
Southern Tier,Broome,135722,126447,11/6/22
Western New York,Cattaraugus,44126,40952,11/6/22
Central New York,Cayuga,49984,46691,11/6/22
Western New York,Chautauqua,82056,75538,11/6/22
Southern Tier,Chemung,49572,46588,11/6/22
Southern Tier,Chenango,31484,29650,11/6/22
North Country,Clinton,59406,55814,11/6/22
Capital Region,Columbia,46079,42079,11/6/22
Central New York,Cortland,29842,28142,11/6/22
Southern Tier,Delaware,26708,24772,11/6/22
Mid-Hudson,Dutchess,231363,208547,11/6/22
Western New York,Erie,717960,665520,11/6/22
North Country,Essex,27944,26015,11/6/22
North Country,Franklin,31330,29275,11/6/22
Mohawk Valley,Fulton,30277,28523,11/6/22
Finger Lakes,Genesee,37932,35745,11/6/22
Capital Region,Greene,32419,29510,11/6/22
North Country,Hamilton,3547,3297,11/6/22
Mohawk Valley,Herkimer,37044,34780,11/6/22
North Country,Jefferson,75888,63616,11/6/22
New York City,Kings,2096006,1883596,11/6/22
North Country,Lewis,14514,13830,11/6/22
Finger Lakes,Livingston,40541,38366,11/6/22
Central New York,Madison,54631,51121,11/6/22
Finger Lakes,Monroe,587243,545323,11/6/22
Mohawk Valley,Montgomery,35489,33486,11/6/22
Long Island,Nassau,1252784,1141452,11/6/22
New York City,New York,1628937,1395602,11/6/22
Western New York,Niagara,151090,141962,11/6/22
Mohawk Valley,Oneida,156510,145438,11/6/22
Central New York,Onondaga,369565,339366,11/6/22
Finger Lakes,Ontario,85580,80172,11/6/22
Mid-Hudson,Orange,264968,241197,11/6/22
Finger Lakes,Orleans,24470,23009,11/6/22
Central New York,Oswego,79667,74961,11/6/22
Mohawk Valley,Otsego,40606,37912,11/6/22
Mid-Hudson,Putnam,83249,74754,11/6/22
New York City,Queens,2206909,1983018,11/6/22
Capital Region,Rensselaer,119519,110631,11/6/22
New York City,Richmond,392223,359627,11/6/22
Mid-Hudson,Rockland,233452,210066,11/6/22
Capital Region,Saratoga,188502,175824,11/6/22
Capital Region,Schenectady,136483,126123,11/6/22
Mohawk Valley,Schoharie,19455,18444,11/6/22
Southern Tier,Schuyler,11280,10438,11/6/22
Finger Lakes,Seneca,19682,18430,11/6/22
North Country,St. Lawrence,74384,69369,11/6/22
Southern Tier,Steuben,56269,52854,11/6/22
Long Island,Suffolk,1240242,1128518,11/6/22
Mid-Hudson,Sullivan,51296,46539,11/6/22
Southern Tier,Tioga,25715,24340,11/6/22
Southern Tier,Tompkins,88613,80415,11/6/22
Mid-Hudson,Ulster,148305,135662,11/6/22
Capital Region,Warren,52439,49349,11/6/22
Capital Region,Washington,41913,39766,11/6/22
Finger Lakes,Wayne,65763,61881,11/6/22
Mid-Hudson,Westchester,883729,793412,11/6/22
Finger Lakes,Wyoming,23487,22205,11/6/22
Finger Lakes,Yates,14732,13721,11/6/22
Capital Region,Albany,254646,231642,11/5/22
Western New York,Allegany,23618,22057,11/5/22
New York City,Bronx,1225030,1088086,11/5/22
Southern Tier,Broome,135721,126444,11/5/22
Western New York,Cattaraugus,44126,40952,11/5/22
Central New York,Cayuga,49983,46691,11/5/22
Western New York,Chautauqua,82055,75535,11/5/22
Southern Tier,Chemung,49572,46588,11/5/22
Southern Tier,Chenango,31483,29650,11/5/22
North Country,Clinton,59406,55814,11/5/22
Capital Region,Columbia,46079,42079,11/5/22
Central New York,Cortland,29842,28141,11/5/22
Southern Tier,Delaware,26707,24772,11/5/22
Mid-Hudson,Dutchess,231359,208543,11/5/22
Western New York,Erie,717954,665514,11/5/22
North Country,Essex,27944,26015,11/5/22
North Country,Franklin,31330,29275,11/5/22
Mohawk Valley,Fulton,30277,28523,11/5/22
Finger Lakes,Genesee,37931,35745,11/5/22
Capital Region,Greene,32417,29510,11/5/22
North Country,Hamilton,3547,3297,11/5/22
Mohawk Valley,Herkimer,37044,34780,11/5/22
North Country,Jefferson,75888,63616,11/5/22
New York City,Kings,2095914,1883534,11/5/22
