Region,County,First Dose,Series Complete,Report as of
North Country,Lewis,14514,13830,11/5/22
Finger Lakes,Livingston,40540,38366,11/5/22
Central New York,Madison,54631,51121,11/5/22
Finger Lakes,Monroe,587238,545316,11/5/22
Mohawk Valley,Montgomery,35489,33486,11/5/22
Long Island,Nassau,1252765,1141434,11/5/22
New York City,New York,1628917,1395582,11/5/22
Western New York,Niagara,151090,141961,11/5/22
Mohawk Valley,Oneida,156505,145431,11/5/22
Central New York,Onondaga,369557,339363,11/5/22
Finger Lakes,Ontario,85579,80171,11/5/22
Mid-Hudson,Orange,264961,241191,11/5/22
Finger Lakes,Orleans,24470,23009,11/5/22
Central New York,Oswego,79667,74961,11/5/22
Mohawk Valley,Otsego,40605,37911,11/5/22
Mid-Hudson,Putnam,83249,74752,11/5/22
New York City,Queens,2206863,1982989,11/5/22
Capital Region,Rensselaer,119516,110628,11/5/22
New York City,Richmond,392182,359626,11/5/22
Mid-Hudson,Rockland,233450,210063,11/5/22
Capital Region,Saratoga,188502,175824,11/5/22
Capital Region,Schenectady,136479,126122,11/5/22
Mohawk Valley,Schoharie,19454,18443,11/5/22
Southern Tier,Schuyler,11280,10438,11/5/22
Finger Lakes,Seneca,19679,18429,11/5/22
North Country,St. Lawrence,74384,69369,11/5/22
Southern Tier,Steuben,56269,52854,11/5/22
Long Island,Suffolk,1240216,1128500,11/5/22
Mid-Hudson,Sullivan,51296,46537,11/5/22
Southern Tier,Tioga,25715,24340,11/5/22
Southern Tier,Tompkins,88613,80415,11/5/22
Mid-Hudson,Ulster,148305,135661,11/5/22
Capital Region,Warren,52439,49348,11/5/22
Capital Region,Washington,41913,39766,11/5/22
Finger Lakes,Wayne,65763,61881,11/5/22
Mid-Hudson,Westchester,883723,793410,11/5/22
Finger Lakes,Wyoming,23487,22205,11/5/22
Finger Lakes,Yates,14732,13720,11/5/22
Capital Region,Albany,254639,231637,11/4/22
Western New York,Allegany,23618,22057,11/4/22
New York City,Bronx,1224977,1088054,11/4/22
Southern Tier,Broome,135718,126439,11/4/22
Western New York,Cattaraugus,44126,40952,11/4/22
Central New York,Cayuga,49981,46690,11/4/22
Western New York,Chautauqua,82054,75533,11/4/22
Southern Tier,Chemung,49570,46587,11/4/22
Southern Tier,Chenango,31482,29650,11/4/22
North Country,Clinton,59404,55813,11/4/22
Capital Region,Columbia,46078,42079,11/4/22
Central New York,Cortland,29841,28140,11/4/22
Southern Tier,Delaware,26706,24772,11/4/22
Mid-Hudson,Dutchess,231353,208542,11/4/22
Western New York,Erie,717935,665504,11/4/22
North Country,Essex,27943,26015,11/4/22
North Country,Franklin,31330,29275,11/4/22
Mohawk Valley,Fulton,30277,28522,11/4/22
Finger Lakes,Genesee,37931,35745,11/4/22
Capital Region,Greene,32417,29508,11/4/22
North Country,Hamilton,3547,3297,11/4/22
Mohawk Valley,Herkimer,37043,34780,11/4/22
North Country,Jefferson,75887,63615,11/4/22
New York City,Kings,2095832,1883465,11/4/22
North Country,Lewis,14512,13830,11/4/22
Finger Lakes,Livingston,40539,38365,11/4/22
Central New York,Madison,54630,51119,11/4/22
Finger Lakes,Monroe,587213,545291,11/4/22
Mohawk Valley,Montgomery,35487,33484,11/4/22
Long Island,Nassau,1252736,1141410,11/4/22
New York City,New York,1628885,1395556,11/4/22
Western New York,Niagara,151083,141956,11/4/22
Mohawk Valley,Oneida,156486,145424,11/4/22
Central New York,Onondaga,369531,339351,11/4/22
Finger Lakes,Ontario,85579,80169,11/4/22
Mid-Hudson,Orange,264952,241190,11/4/22
Finger Lakes,Orleans,24470,23009,11/4/22
Central New York,Oswego,79666,74959,11/4/22
Mohawk Valley,Otsego,40602,37911,11/4/22
Mid-Hudson,Putnam,83247,74750,11/4/22
New York City,Queens,2206781,1982940,11/4/22
Capital Region,Rensselaer,119513,110627,11/4/22
New York City,Richmond,392171,359609,11/4/22
Mid-Hudson,Rockland,233440,210060,11/4/22
Capital Region,Saratoga,188498,175820,11/4/22
Capital Region,Schenectady,136476,126115,11/4/22
Mohawk Valley,Schoharie,19454,18442,11/4/22
Southern Tier,Schuyler,11280,10438,11/4/22
Finger Lakes,Seneca,19679,18429,11/4/22
North Country,St. Lawrence,74383,69367,11/4/22
Southern Tier,Steuben,56268,52853,11/4/22
Long Island,Suffolk,1240181,1128481,11/4/22
Mid-Hudson,Sullivan,51296,46536,11/4/22
Southern Tier,Tioga,25715,24340,11/4/22
Southern Tier,Tompkins,88613,80415,11/4/22
Mid-Hudson,Ulster,148300,135656,11/4/22
Capital Region,Warren,52436,49345,11/4/22
Capital Region,Washington,41913,39766,11/4/22
Finger Lakes,Wayne,65763,61881,11/4/22
Mid-Hudson,Westchester,883710,793396,11/4/22
Finger Lakes,Wyoming,23487,22204,11/4/22
Finger Lakes,Yates,14732,13720,11/4/22
Capital Region,Albany,254625,231625,11/3/22
Western New York,Allegany,23618,22057,11/3/22
New York City,Bronx,1224837,1087954,11/3/22
Southern Tier,Broome,135712,126432,11/3/22
Western New York,Cattaraugus,44124,40952,11/3/22
Central New York,Cayuga,49976,46688,11/3/22
Western New York,Chautauqua,82048,75531,11/3/22
Southern Tier,Chemung,49568,46583,11/3/22
Southern Tier,Chenango,31476,29647,11/3/22
North Country,Clinton,59402,55812,11/3/22
Capital Region,Columbia,46076,42076,11/3/22
Central New York,Cortland,29839,28139,11/3/22
Southern Tier,Delaware,26705,24771,11/3/22
Mid-Hudson,Dutchess,231335,208528,11/3/22
Western New York,Erie,717886,665458,11/3/22
North Country,Essex,27941,26013,11/3/22
North Country,Franklin,31329,29273,11/3/22
Mohawk Valley,Fulton,30275,28519,11/3/22
Finger Lakes,Genesee,37931,35745,11/3/22
Capital Region,Greene,32415,29508,11/3/22
North Country,Hamilton,3547,3297,11/3/22
Mohawk Valley,Herkimer,37039,34778,11/3/22
North Country,Jefferson,75880,63612,11/3/22
New York City,Kings,2095655,1883345,11/3/22
North Country,Lewis,14511,13829,11/3/22
Finger Lakes,Livingston,40539,38365,11/3/22
Central New York,Madison,54627,51116,11/3/22
Finger Lakes,Monroe,587164,545246,11/3/22
Mohawk Valley,Montgomery,35482,33482,11/3/22
Long Island,Nassau,1252682,1141375,11/3/22
New York City,New York,1628741,1395467,11/3/22
Western New York,Niagara,151075,141948,11/3/22
Mohawk Valley,Oneida,156477,145414,11/3/22
Central New York,Onondaga,369505,339339,11/3/22
Finger Lakes,Ontario,85578,80165,11/3/22
Mid-Hudson,Orange,264922,241156,11/3/22
Finger Lakes,Orleans,24469,23009,11/3/22
Central New York,Oswego,79663,74958,11/3/22
Mohawk Valley,Otsego,40600,37910,11/3/22
Mid-Hudson,Putnam,83242,74742,11/3/22
New York City,Queens,2206649,1982838,11/3/22
Capital Region,Rensselaer,119509,110623,11/3/22
New York City,Richmond,392158,359591,11/3/22
Mid-Hudson,Rockland,233429,210047,11/3/22
Capital Region,Saratoga,188492,175812,11/3/22
Capital Region,Schenectady,136469,126110,11/3/22
Mohawk Valley,Schoharie,19453,18440,11/3/22
Southern Tier,Schuyler,11278,10437,11/3/22
Finger Lakes,Seneca,19678,18428,11/3/22
North Country,St. Lawrence,74379,69367,11/3/22
Southern Tier,Steuben,56268,52852,11/3/22
Long Island,Suffolk,1240127,1128443,11/3/22
Mid-Hudson,Sullivan,51289,46530,11/3/22
Southern Tier,Tioga,25713,24339,11/3/22
Southern Tier,Tompkins,88609,80409,11/3/22
Mid-Hudson,Ulster,148290,135651,11/3/22
Capital Region,Warren,52434,49344,11/3/22
Capital Region,Washington,41909,39762,11/3/22
Finger Lakes,Wayne,65758,61879,11/3/22
Mid-Hudson,Westchester,883607,793333,11/3/22
Finger Lakes,Wyoming,23487,22204,11/3/22
Finger Lakes,Yates,14730,13720,11/3/22
Capital Region,Albany,254580,231600,11/2/22
Western New York,Allegany,23617,22057,11/2/22
New York City,Bronx,1224716,1087851,11/2/22
Southern Tier,Broome,135707,126429,11/2/22
Western New York,Cattaraugus,44121,40951,11/2/22
Central New York,Cayuga,49975,46687,11/2/22
Western New York,Chautauqua,82045,75528,11/2/22
Southern Tier,Chemung,49564,46582,11/2/22
Southern Tier,Chenango,31474,29647,11/2/22
North Country,Clinton,59400,55811,11/2/22
Capital Region,Columbia,46072,42072,11/2/22
Central New York,Cortland,29838,28137,11/2/22
Southern Tier,Delaware,26705,24771,11/2/22
Mid-Hudson,Dutchess,231314,208518,11/2/22
Western New York,Erie,717821,665412,11/2/22
North Country,Essex,27939,26012,11/2/22
North Country,Franklin,31326,29272,11/2/22
Mohawk Valley,Fulton,30273,28519,11/2/22
Finger Lakes,Genesee,37929,35745,11/2/22
Capital Region,Greene,32414,29508,11/2/22
North Country,Hamilton,3547,3296,11/2/22
Mohawk Valley,Herkimer,37038,34778,11/2/22
North Country,Jefferson,75869,63604,11/2/22
New York City,Kings,2095494,1883221,11/2/22
North Country,Lewis,14509,13829,11/2/22
Finger Lakes,Livingston,40539,38364,11/2/22
Central New York,Madison,54627,51115,11/2/22
Finger Lakes,Monroe,587092,545211,11/2/22
Mohawk Valley,Montgomery,35481,33482,11/2/22
Long Island,Nassau,1252626,1141314,11/2/22
New York City,New York,1628562,1395346,11/2/22
Western New York,Niagara,151067,141947,11/2/22
Mohawk Valley,Oneida,156466,145406,11/2/22
Central New York,Onondaga,369484,339303,11/2/22
Finger Lakes,Ontario,85575,80163,11/2/22
Mid-Hudson,Orange,264902,241136,11/2/22
Finger Lakes,Orleans,24467,23006,11/2/22
Central New York,Oswego,79660,74956,11/2/22
Mohawk Valley,Otsego,40595,37906,11/2/22
Mid-Hudson,Putnam,83237,74738,11/2/22
New York City,Queens,2206480,1982709,11/2/22
Capital Region,Rensselaer,119495,110616,11/2/22
New York City,Richmond,392131,359568,11/2/22
Mid-Hudson,Rockland,233416,210037,11/2/22
Capital Region,Saratoga,188481,175800,11/2/22
Capital Region,Schenectady,136457,126103,11/2/22
Mohawk Valley,Schoharie,19452,18439,11/2/22
Southern Tier,Schuyler,11278,10436,11/2/22
Finger Lakes,Seneca,19676,18427,11/2/22
North Country,St. Lawrence,74371,69363,11/2/22
Southern Tier,Steuben,56262,52851,11/2/22
Long Island,Suffolk,1239973,1128363,11/2/22
Mid-Hudson,Sullivan,51288,46530,11/2/22
Southern Tier,Tioga,25713,24338,11/2/22
Southern Tier,Tompkins,88601,80401,11/2/22
Mid-Hudson,Ulster,148279,135647,11/2/22
Capital Region,Warren,52429,49342,11/2/22
Capital Region,Washington,41909,39761,11/2/22
Finger Lakes,Wayne,65752,61878,11/2/22
Mid-Hudson,Westchester,883538,793270,11/2/22
Finger Lakes,Wyoming,23485,22204,11/2/22
Finger Lakes,Yates,14729,13719,11/2/22
Capital Region,Albany,254562,231582,11/1/22
Western New York,Allegany,23616,22055,11/1/22
New York City,Bronx,1224585,1087763,11/1/22
Southern Tier,Broome,135706,126422,11/1/22
Western New York,Cattaraugus,44119,40950,11/1/22
Central New York,Cayuga,49968,46683,11/1/22
Western New York,Chautauqua,82038,75525,11/1/22
Southern Tier,Chemung,49560,46576,11/1/22
Southern Tier,Chenango,31472,29646,11/1/22
North Country,Clinton,59399,55807,11/1/22
Capital Region,Columbia,46070,42071,11/1/22
Central New York,Cortland,29835,28137,11/1/22
Southern Tier,Delaware,26701,24770,11/1/22
Mid-Hudson,Dutchess,231293,208506,11/1/22
Western New York,Erie,717780,665371,11/1/22
North Country,Essex,27935,26010,11/1/22
North Country,Franklin,31322,29271,11/1/22
Mohawk Valley,Fulton,30273,28519,11/1/22
Finger Lakes,Genesee,37928,35741,11/1/22
Capital Region,Greene,32413,29508,11/1/22
North Country,Hamilton,3547,3296,11/1/22
Mohawk Valley,Herkimer,37035,34777,11/1/22
North Country,Jefferson,75859,63599,11/1/22
New York City,Kings,2095290,1883061,11/1/22
North Country,Lewis,14508,13828,11/1/22
Finger Lakes,Livingston,40538,38364,11/1/22
Central New York,Madison,54627,51114,11/1/22
Finger Lakes,Monroe,587041,545182,11/1/22
Mohawk Valley,Montgomery,35481,33481,11/1/22
Long Island,Nassau,1252544,1141243,11/1/22
New York City,New York,1628393,1395249,11/1/22
Western New York,Niagara,151058,141938,11/1/22
Mohawk Valley,Oneida,156450,145390,11/1/22
Central New York,Onondaga,369456,339273,11/1/22
Finger Lakes,Ontario,85567,80161,11/1/22
Mid-Hudson,Orange,264887,241123,11/1/22
Finger Lakes,Orleans,24463,22997,11/1/22
Central New York,Oswego,79656,74952,11/1/22
Mohawk Valley,Otsego,40595,37902,11/1/22
Mid-Hudson,Putnam,83231,74737,11/1/22
New York City,Queens,2206309,1982607,11/1/22
Capital Region,Rensselaer,119481,110608,11/1/22
New York City,Richmond,392114,359550,11/1/22
Mid-Hudson,Rockland,233408,210026,11/1/22
Capital Region,Saratoga,188472,175797,11/1/22
Capital Region,Schenectady,136446,126091,11/1/22
Mohawk Valley,Schoharie,19449,18437,11/1/22
Southern Tier,Schuyler,11276,10436,11/1/22
Finger Lakes,Seneca,19676,18425,11/1/22
North Country,St. Lawrence,74366,69359,11/1/22
Southern Tier,Steuben,56258,52849,11/1/22
Long Island,Suffolk,1239905,1128313,11/1/22
Mid-Hudson,Sullivan,51286,46529,11/1/22
Southern Tier,Tioga,25713,24336,11/1/22
Southern Tier,Tompkins,88592,80394,11/1/22
Mid-Hudson,Ulster,148263,135637,11/1/22
Capital Region,Warren,52429,49341,11/1/22
Capital Region,Washington,41906,39761,11/1/22
Finger Lakes,Wayne,65751,61877,11/1/22
Mid-Hudson,Westchester,883471,793218,11/1/22
Finger Lakes,Wyoming,23482,22203,11/1/22
Finger Lakes,Yates,14729,13719,11/1/22
Capital Region,Albany,254523,231546,10/31/22
Western New York,Allegany,23613,22053,10/31/22
New York City,Bronx,1224426,1087647,10/31/22
Southern Tier,Broome,135698,126413,10/31/22
Western New York,Cattaraugus,44118,40950,10/31/22
Central New York,Cayuga,49967,46681,10/31/22
Western New York,Chautauqua,82031,75521,10/31/22
Southern Tier,Chemung,49560,46572,10/31/22
Southern Tier,Chenango,31465,29644,10/31/22
North Country,Clinton,59397,55805,10/31/22
Capital Region,Columbia,46069,42070,10/31/22
Central New York,Cortland,29835,28137,10/31/22
Southern Tier,Delaware,26701,24768,10/31/22
Mid-Hudson,Dutchess,231275,208504,10/31/22
Western New York,Erie,717703,665333,10/31/22
North Country,Essex,27931,26007,10/31/22
North Country,Franklin,31322,29270,10/31/22
Mohawk Valley,Fulton,30270,28518,10/31/22
Finger Lakes,Genesee,37923,35740,10/31/22
Capital Region,Greene,32411,29506,10/31/22
North Country,Hamilton,3547,3296,10/31/22
Mohawk Valley,Herkimer,37034,34776,10/31/22
North Country,Jefferson,75851,63596,10/31/22
New York City,Kings,2095108,1882913,10/31/22
North Country,Lewis,14508,13827,10/31/22
Finger Lakes,Livingston,40536,38363,10/31/22
Central New York,Madison,54627,51111,10/31/22
Finger Lakes,Monroe,586995,545147,10/31/22
Mohawk Valley,Montgomery,35478,33478,10/31/22
Long Island,Nassau,1252477,1141185,10/31/22
New York City,New York,1628190,1395116,10/31/22
Western New York,Niagara,151052,141929,10/31/22
Mohawk Valley,Oneida,156440,145382,10/31/22
Central New York,Onondaga,369438,339248,10/31/22
Finger Lakes,Ontario,85561,80161,10/31/22
Mid-Hudson,Orange,264854,241108,10/31/22
Finger Lakes,Orleans,24462,22996,10/31/22
Central New York,Oswego,79652,74950,10/31/22
Mohawk Valley,Otsego,40593,37902,10/31/22
Mid-Hudson,Putnam,83228,74735,10/31/22
New York City,Queens,2206120,1982480,10/31/22
Capital Region,Rensselaer,119476,110603,10/31/22
New York City,Richmond,392092,359536,10/31/22
Mid-Hudson,Rockland,233373,210003,10/31/22
Capital Region,Saratoga,188459,175787,10/31/22
Capital Region,Schenectady,136434,126083,10/31/22
Mohawk Valley,Schoharie,19448,18437,10/31/22
Southern Tier,Schuyler,11275,10436,10/31/22
Finger Lakes,Seneca,19675,18422,10/31/22
North Country,St. Lawrence,74365,69359,10/31/22
Southern Tier,Steuben,56257,52846,10/31/22
Long Island,Suffolk,1239825,1128232,10/31/22
Mid-Hudson,Sullivan,51284,46526,10/31/22
Southern Tier,Tioga,25713,24336,10/31/22
Southern Tier,Tompkins,88587,80388,10/31/22
Mid-Hudson,Ulster,148250,135633,10/31/22
Capital Region,Warren,52425,49338,10/31/22
Capital Region,Washington,41905,39759,10/31/22
Finger Lakes,Wayne,65750,61875,10/31/22
Mid-Hudson,Westchester,883347,793152,10/31/22
Finger Lakes,Wyoming,23482,22203,10/31/22
Finger Lakes,Yates,14729,13719,10/31/22
Capital Region,Albany,254497,231524,10/30/22
Western New York,Allegany,23611,22051,10/30/22
New York City,Bronx,1224335,1087563,10/30/22
Southern Tier,Broome,135694,126411,10/30/22
Western New York,Cattaraugus,44118,40950,10/30/22
Central New York,Cayuga,49966,46681,10/30/22
Western New York,Chautauqua,82026,75520,10/30/22
Southern Tier,Chemung,49558,46570,10/30/22
Southern Tier,Chenango,31464,29644,10/30/22
North Country,Clinton,59397,55805,10/30/22
Capital Region,Columbia,46066,42068,10/30/22
Central New York,Cortland,29835,28136,10/30/22
Southern Tier,Delaware,26700,24764,10/30/22
Mid-Hudson,Dutchess,231263,208495,10/30/22
Western New York,Erie,717661,665304,10/30/22
North Country,Essex,27931,26007,10/30/22
North Country,Franklin,31321,29268,10/30/22
Mohawk Valley,Fulton,30269,28518,10/30/22
Finger Lakes,Genesee,37919,35738,10/30/22
Capital Region,Greene,32408,29506,10/30/22
North Country,Hamilton,3547,3296,10/30/22
Mohawk Valley,Herkimer,37033,34775,10/30/22
North Country,Jefferson,75844,63593,10/30/22
New York City,Kings,2094964,1882798,10/30/22
North Country,Lewis,14508,13827,10/30/22
Finger Lakes,Livingston,40535,38363,10/30/22
Central New York,Madison,54626,51111,10/30/22
Finger Lakes,Monroe,586950,545128,10/30/22
Mohawk Valley,Montgomery,35478,33478,10/30/22
Long Island,Nassau,1252421,1141129,10/30/22
New York City,New York,1628033,1395022,10/30/22
Western New York,Niagara,151047,141926,10/30/22
Mohawk Valley,Oneida,156435,145376,10/30/22
Central New York,Onondaga,369421,339242,10/30/22
Finger Lakes,Ontario,85560,80160,10/30/22
Mid-Hudson,Orange,264843,241096,10/30/22
Finger Lakes,Orleans,24462,22996,10/30/22
Central New York,Oswego,79650,74950,10/30/22
Mohawk Valley,Otsego,40593,37902,10/30/22
Mid-Hudson,Putnam,83223,74734,10/30/22
New York City,Queens,2205984,1982375,10/30/22
Capital Region,Rensselaer,119472,110597,10/30/22
New York City,Richmond,392076,359524,10/30/22
Mid-Hudson,Rockland,233364,210002,10/30/22
Capital Region,Saratoga,188454,175783,10/30/22
Capital Region,Schenectady,136431,126079,10/30/22
Mohawk Valley,Schoharie,19448,18437,10/30/22
Southern Tier,Schuyler,11273,10436,10/30/22
Finger Lakes,Seneca,19674,18421,10/30/22
North Country,St. Lawrence,74365,69359,10/30/22
Southern Tier,Steuben,56255,52845,10/30/22
Long Island,Suffolk,1239759,1128175,10/30/22
Mid-Hudson,Sullivan,51282,46525,10/30/22
Southern Tier,Tioga,25713,24336,10/30/22
Southern Tier,Tompkins,88583,80385,10/30/22
Mid-Hudson,Ulster,148245,135630,10/30/22
Capital Region,Warren,52423,49338,10/30/22
Capital Region,Washington,41905,39757,10/30/22
Finger Lakes,Wayne,65743,61873,10/30/22
Mid-Hudson,Westchester,883284,793118,10/30/22
Finger Lakes,Wyoming,23482,22203,10/30/22
Finger Lakes,Yates,14729,13719,10/30/22
Capital Region,Albany,254495,231522,10/29/22
Western New York,Allegany,23611,22050,10/29/22
New York City,Bronx,1224326,1087557,10/29/22
Southern Tier,Broome,135693,126408,10/29/22
Western New York,Cattaraugus,44116,40949,10/29/22
Central New York,Cayuga,49966,46681,10/29/22
Western New York,Chautauqua,82024,75518,10/29/22
Southern Tier,Chemung,49557,46570,10/29/22
Southern Tier,Chenango,31464,29644,10/29/22
North Country,Clinton,59397,55805,10/29/22
Capital Region,Columbia,46066,42068,10/29/22
Central New York,Cortland,29835,28135,10/29/22
Southern Tier,Delaware,26700,24764,10/29/22
Mid-Hudson,Dutchess,231260,208493,10/29/22
