Report Date,County,Place of Fatality,Deaths by County of Residence
10/28/22,Allegany,95,163
10/28/22,Bronx,4923,5515
10/28/22,Broome,663,564
10/28/22,Cattaraugus,245,240
10/28/22,Cayuga,127,167
10/28/22,Chautauqua,311,322
10/28/22,Chemung,317,247
10/28/22,Chenango,76,127
10/28/22,Clinton,151,109
10/28/22,Columbia,171,159
10/28/22,Cortland,109,129
10/28/22,Delaware,28,85
10/28/22,Dutchess,755,707
10/28/22,Erie,3127,2787
10/28/22,Essex,40,70
10/28/22,Franklin,33,51
10/28/22,Fulton,107,180
10/28/22,Genesee,173,203
10/28/22,Greene,35,139
10/28/22,Hamilton,0,5
10/28/22,Herkimer,71,207
10/28/22,Jefferson,126,146
10/28/22,Kings,8374,9246
10/28/22,Lewis,21,53
10/28/22,Livingston,88,129
10/28/22,Madison,127,139
10/28/22,Manhattan,6321,3845
10/28/22,Monroe,2054,1741
10/28/22,Montgomery,197,222
10/28/22,Nassau,4982,4069
10/28/22,Niagara,400,616
10/28/22,Non-NYS,0,521
10/28/22,Oneida,874,843
10/28/22,Onondaga,1402,1144
10/28/22,Ontario,257,201
10/28/22,Orange,1105,1006
10/28/22,Orleans,58,123
10/28/22,Oswego,124,214
10/28/22,Otsego,157,98
10/28/22,Putnam,116,136
10/28/22,Queens,6982,8613
10/28/22,Rensselaer,245,294
10/28/22,Richmond,1465,1495
10/28/22,Rockland,901,935
10/28/22,Saratoga,270,375
10/28/22,Schenectady,319,339
10/28/22,Schoharie,16,40
10/28/22,Schuyler,8,30
10/28/22,Seneca,38,94
10/28/22,St. Lawrence,191,210
10/28/22,Statewide Total,58751,58751
10/28/22,Steuben,209,262
10/28/22,Suffolk,4661,4663
10/28/22,Sullivan,103,141
10/28/22,Tioga,42,88
10/28/22,Tompkins,105,96
10/28/22,Ulster,215,392
10/28/22,Warren,239,140
10/28/22,Washington,42,128
10/28/22,Wayne,111,198
10/28/22,Westchester,3136,2852
10/28/22,Wyoming,71,89
10/28/22,Yates,26,40
10/27/22,Albany,1011,568
10/27/22,Allegany,95,163
10/27/22,Bronx,4923,5515
10/27/22,Broome,663,564
10/27/22,Cattaraugus,245,240
10/27/22,Cayuga,127,167
10/27/22,Chautauqua,311,322
10/27/22,Chemung,317,247
10/27/22,Chenango,76,127
10/27/22,Clinton,151,109
10/27/22,Columbia,171,159
10/27/22,Cortland,109,129
10/27/22,Delaware,28,85
10/27/22,Dutchess,755,707
10/27/22,Erie,3125,2787
10/27/22,Essex,40,70
10/27/22,Franklin,33,51
10/27/22,Fulton,107,180
10/27/22,Genesee,173,203
10/27/22,Greene,35,139
10/27/22,Hamilton,0,5
10/27/22,Herkimer,71,207
10/27/22,Jefferson,126,146
10/27/22,Kings,8372,9244
10/27/22,Lewis,21,53
10/27/22,Livingston,88,129
10/27/22,Madison,127,139
10/27/22,Manhattan,6319,3842
10/27/22,Monroe,2052,1739
10/27/22,Montgomery,197,222
10/27/22,Nassau,4976,4065
10/27/22,Niagara,399,613
10/27/22,Non-NYS,0,521
10/27/22,Oneida,874,843
10/27/22,Onondaga,1402,1144
10/27/22,Ontario,257,201
10/27/22,Orange,1105,1006
10/27/22,Orleans,58,123
10/27/22,Oswego,124,214
10/27/22,Otsego,157,98
10/27/22,Putnam,116,136
10/27/22,Queens,6980,8611
10/27/22,Rensselaer,245,291
10/27/22,Richmond,1464,1494
10/27/22,Rockland,900,935
10/27/22,Saratoga,270,374
10/27/22,Schenectady,319,339
10/27/22,Schoharie,16,40
10/27/22,Schuyler,8,30
10/27/22,Seneca,38,94
10/27/22,St. Lawrence,191,210
10/27/22,Statewide Total,58722,58722
10/27/22,Steuben,209,262
10/27/22,Suffolk,4658,4659
10/27/22,Sullivan,103,140
10/27/22,Tioga,42,88
10/27/22,Tompkins,105,96
10/27/22,Ulster,215,392
10/27/22,Warren,239,140
10/27/22,Washington,42,128
10/27/22,Wayne,111,198
10/27/22,Westchester,3134,2850
